date,city,region,country,year,month,season,day_of_year,rain,rain_3day,rain_7day,rain_15day,rain_30day,rain_intensity,consecutive_rain_days,heavy_rain_day,pressure,pressure_change,pressure_3day_trend,rapid_pressure_drop,temp,temp_change,temp_3day_trend,extreme_heat,extreme_cold,humidity,humidity_change,high_humidity,wind_speed,is_monsoon_season,is_winter_rain_season,flood_label,flood_severity,flood_type,data_source,elevation,distance_to_coast,week_of_year,is_pre_monsoon,is_post_monsoon,rain_7day_vs_30day,geographic_region,monsoon_rain_7day,coastal_storm_risk,mountain_rain_risk,monthly_avg_pressure,pressure_anomaly
2018-05-10,Abbottabad,mountain,Pakistan,2018,5,spring,130,0.0,1.7200000000000053,15.620000000000001,18.32000000000003,94.35,0.0,0,0,89.76,0.10000000000000853,0.38000000000000966,0,25.47,2.799999999999997,3.9399999999999977,0,0,40.36,-5.539999999999999,0,1.83,0,0,0,0,none,NASA POWER API,850.6399999999992,1261.9165026088256,19,1,0,0.1655520344246484,mountain,0.0,0,0,89.3883870967742,0.37161290322580953
2016-05-18,Abbottabad,mountain,Pakistan,2016,5,spring,139,0.0,1.1500000000000004,6.27,8.400000000000007,13.98,0.0,0,0,89.01,-0.18999999999999773,-0.28999999999999204,0,30.38,1.2300000000000004,2.5199999999999996,0,0,25.45,-1.490000000000002,0,1.93,0,0,0,0,none,NASA POWER API,850.6399999999992,1261.9165026088256,20,1,0,0.4484657749803304,mountain,0.0,0,0,89.3883870967742,-0.37838709677419047
2016-01-09,Abbottabad,mountain,Pakistan,2016,1,winter,9,0.0,2.09,9.379999999999999,9.379999999999999,18.21,0.0,0,0,90.15,-0.30999999999998806,-0.20999999999999375,0,10.33,1.1500000000000004,-0.4499999999999993,0,0,47.55,-22.67,0,1.23,0,1,0,0,none,NASA POWER API,850.6399999999992,1261.9165026088256,1,0,0,0.5150733073417164,mountain,0.0,0,0,90.13731182795699,0.012688172043013424
2023-11-03,Abbottabad,mountain,Pakistan,2023,11,autumn,307,0.0,6.179999999999986,6.179999999999972,13.030000000000058,67.62,0.0,0,0,89.96,-0.27000000000001023,-0.45000000000000284,0,17.12,-0.3000000000000007,-0.5399999999999991,0,0,56.96,-11.82,0,1.29,0,0,0,0,none,NASA POWER API,850.6399999999992,1261.9165026088256,44,0,1,0.0913917274219543,mountain,0.0,0,0,90.15525925925925,-0.19525925925925947
2023-11-10,Abbottabad,mountain,Pakistan,2023,11,autumn,314,47.54,59.65999999999998,59.65999999999997,65.84000000000006,115.07,1.9808333333333332,2,0,90.32,0.25,0.269999999999996,0,13.44,-2.51,-2.869999999999999,0,0,76.36,5.060000000000002,0,0.96,0,0,0,0,none,NASA POWER API,850.6399999999992,1261.9165026088256,45,0,1,0.5184625144476016,mountain,0.0,0,0,90.15525925925925,0.16474074074073997
2015-12-09,Abbottabad,mountain,Pakistan,2015,12,winter,343,0.35,0.35,0.35,0.39999999999999997,14.13,0.014583333333333332,1,0,89.94,-0.20000000000000284,-0.35999999999999943,0,11.1,-3.0700000000000003,-3.2300000000000004,0,0,58.3,5.719999999999999,0,1.47,0,0,0,0,none,NASA POWER API,850.6399999999992,1261.9165026088256,50,0,0,0.024768240039629182,mountain,0.0,0,0,90.21247311827956,-0.27247311827956366
2020-06-17,Abbottabad,mountain,Pakistan,2020,6,monsoon,169,0.0,0.0,279.54,308.5400000000001,354.97999999999996,0.0,0,0,88.76,-0.06999999999999318,-0.25,0,26.81,-0.6000000000000014,0.08999999999999986,0,0,52.31,3.6799999999999997,0,1.57,0,0,1,3,riverine,NASA POWER API,850.6399999999992,1261.9165026088256,25,1,0,0.7874787664691915,mountain,0.0,0,0,89.05074074074075,-0.29074074074074474
2016-06-12,Abbottabad,mountain,Pakistan,2016,6,monsoon,164,0.11,4.68,7.32,16.910000000000007,77.32,0.004583333333333333,5,0,88.92,-0.060000000000002274,0.01999999999999602,0,31.01,0.7000000000000028,-0.05999999999999872,0,0,32.85,-1.6999999999999957,0,1.4,0,0,1,2,flash_flood,NASA POWER API,850.6399999999992,1261.9165026088256,23,1,0,0.09467027068972207,mountain,0.0,0,0,89.05074074074075,-0.13074074074074815
2015-02-24,Abbottabad,mountain,Pakistan,2015,2,winter,55,14.45,14.679999999999998,30.08,36.349999999999994,55.27,0.6020833333333333,2,0,89.72,-0.3400000000000034,-0.37999999999999545,0,12.49,-3.9799999999999986,-4.26,0,0,69.19,19.759999999999998,0,3.21,0,1,0,0,none,NASA POWER API,850.6399999999992,1261.9165026088256,9,0,0,0.544227533426209,mountain,0.0,0,0,90.08653543307086,-0.3665354330708652
2020-04-20,Abbottabad,mountain,Pakistan,2020,4,spring,111,0.17,62.849999999999994,117.78,153.24000000000004,366.9,0.007083333333333334,7,0,89.7,0.030000000000001137,0.0,0,18.12,1.0100000000000016,3.580000000000002,0,0,63.76,-8.07,0,1.18,0,0,1,3,flash_flood,NASA POWER API,850.6399999999992,1261.9165026088256,17,1,0,0.3210130253120052,mountain,0.0,0,0,89.68585185185185,0.014148148148152018
